content,score
"halo, saya ingin mendapatkan pengembalian dana saya, karena langganan dimulai di tgl 19 april, sedangkan saya sudah membatalkan langganan saya di tgl 18 april🙏🏼 halo, tolong dong segera kembalikan dana saya, karena saya sudah berhenti langganan seblum tgl dimulainya langganan, tapi saldo saya sudah kepotong duluann aku kasih bintang satu soalnya ndak ada tanggapan dari netflix, sumpah nyesel pake buanget langganan di apk ini. ga lagi aku langganan disini, minimal kasih kabar lah",1
cara membatalkan langganan gimana sih caranya,5
tidak bisa login di tab,1
banyak film baru bagus2,5
tpi banyak film yg gk ada min🥲,5
ee bagus aja,5
kata bisa buat lebih dr 1 hp buat di tonton barengan ternyata GK bisa SM sekali,1
"INI BENERAN SEKARANG 65.000/BULAN CUMA BISA DI 1 PERANGKAT? 120 2 PERANGKAT????? GILE GILEEEEE HEBAT YEE HARGA NYA MAKIN PELIT. Nonton dirumah berapa user hp, cm bisa 1 org doang yg nonton wkwkwk pelit pelit",1
busuk,1
"aplikasi buruk ga ada ke jelasan, mau bayar aja di buat susah padahal untuk berlangganan",1
mau masuk harus bayar 58 ribu jjk bngt,1
"Ada masalah terkait dengan tontonan Drama Korea Phantom Lawyer episode 12 tidak bisa di tonton sementara tayangan lain bisa ditonton, satu hal lagi tentang pusat bantuan yang tidak ada keluhan tentang masalah ini sehingga susah untuk mencari bantuan agar masalah ini bisa teratasi",5
amazing,5
ganguan trus GK bisa masuk,1
susah banget login ke aplikasi ini,1
Aplikasi tidak bisa terbuka,1
kebanyakan iklan,2
baguss koo,5
makin kesini apk nya makin rusak masak sinyal bagus muter² terus gak bisa di tonton,1
kenapa ya pas lgi ntn tiba² vidio kejeda terus duara masih on. layar ngga bisa kesentuh.. bikin hp rusak nggk sih.,3
"login ceoat,masuk tanpa hambatan",5
ok,5
Good,4
jelekkk kali mau login aja susah kalii,1
bagus sih aku sering nonton Netflix di tv tapi pas aku download di hp tulisanya tidak dapat menjangkau layanan Netflix bantu saran harus gimana,3
mau masuk saja terlalu ribet. APK nya hanya mencari keuntungan tidak mengutamakan kenyaman orang saat login,1
buat akun aja di persulit anj,1
recomended,5
"login via web masih ada bugnya nih netlix, sy. udh pilih ahli suara saat pemutaran gambar ga ada option ahli suara yang saya tuju.",1
tolong dong respon yg cepat ini 2 kali neflik saya ke bajak.. saya abis tgl 10 Mei 2026 ini tgl 18 april loh masa sudah habis,2
Udah berkali-kali daftar tapi gak bisa-bisa kesel banget,5
kok bisa bisanya langsung motong saldo gak rekomendasi banget,1
tidak bisa nonton di redmi pad,1
"film nya itu itu aja,gk ada yg baru,",2
saya suka dengan aplikasi nya bagus,5
Kok bisa ya.. tanpa konfirmasi main auto debit aja... sdh 2x kejadian yg sy alami thn lalu Dana sy disunat skrg SPay Later.. 😡,1
"saya sangat susah masuk ke TV led. padahal langganan sy aman prabayar, tapi tiba2 saja tidak bisa masuk",3
aplikasinya nya bagus,5
harus langanan njiirr,1
Setelah update malah buat nonton ngelag.,1
bagus buanget filmnya seruuu,5
kerenn,5
memuaskan,4
"tolong dibenahin lagi, setelah update banyak eps atau drama yg hilang, contoh yg hilang anime one Piece lompatnya langsung jauh, dari arc zou eps 782 langsung lompat arc egghead eps 1089, di arc bigmon dan kaido hilang.",2
terimakasih terimakasih,5
terjadi kesalahan coba lagi beberapa menit. ni aplikasi kocak taayyiilk. udah brp kali masuk ga bisa bisa tllolll,1
"mantul netflix, fav film horor indo 😙",5
eps one piece nya putus,3
"masuk aja pakai uang, aplikasi norak",1
"aplikasinya error parah secara tiba"" ngelagnya tu ngeselin bgt. pdhl memoriku udh free ampe 130 GB trus hp juga baru beli tahun kmarin, aplikasi streaming lain fine"" aja lancar cuma gtw knp Netflix ya malah yg ngelag kzl",1
Kren Bagus,5
ini kenapa netflix aq gak bisa di buka??? sayang bngt dong udah bayar langganan tp gak bs nonton,1
untuk sistemnya bagus dan Hd saat menonton tidak ada kendala saat menonton atau iklan sedikitpun Joss,4
This app makes it easy for me to watch,5
aplikasi menonton yg sangat di sukai keluarga,5
"Film ttg keluarga pada umumnya, alur cerita sangat menarik dan riil. sangat layak ditonton bersama keluarga. the best family serial movies #goldendays",5
banyak tontonan yang seru,5
bagus banget. . . . happy.. bahagia.. 🥰🤗,5
"andai saja netflix mengizinkan screenshot saat nonton video nya, pasti sudah saya kasih bintang 5",4
toloong...jangan hapus transformers 😭😭 itu favorit sayaaa...,5
oky,5
kenapa neflix sya GK bisa masuk,3
Aku pake tablet Samsung udh bayar gk bisa masuk error' Mulu. Tolong bantuannya minimal uang kembali.,1
aku sangat suka dengan aplikasi ini,5
"kirain gratis gk taunya bayar,hapus aja lah gk guna",1
ok dhe,5
apa ini sangat mengecewakan,1
good👍,5
"tolong kasih opsi dua subtitle sekaligus, mungkin akan sangat berguna bagi mereka yg ingin belajar bahasa inggris",3
mau log in aja g bisa2 tulisannya terjadi kesalahan coba lagi dlm bbrp menit tp g bisa2 juga. rugi baru aja beli,1
"jujur apa aku doang, buka di tab huawei matepad 11.5S gabisa terus udh uninstall download beberapa kali tetep gabisa huh",1
Bagus,5
baik,4
kecewa berlangganan..menu filmnya kurang lengkap....sumpah netflix jelek banget👎kagak lengkap.tidak sesuai ekpektasi.nyesel deh berlangganan.kapooookkkk,1
"permisi min sy mau minta refund , saya udaa ga berlangganan tegapi saldo saya otomatis melakukan pembayaran utk premium netflix , tlg responnya ha",5
"makin hari film yang ditampilkan seru-seru dan banyak banget film nya, harganya pun terjangkau love banget jadi bisa nonton film sepuasnya 🫰🏻🫰🏻",5
⭐⭐⭐⭐⭐,5
Berlangganan dengan netflix sangat menyenangkan membuat hari hari begitu berwarna dengan hiburan yang di tonton,5
saya sudah batalkan langganan kenapa masih memotong saldo saya?,1
netflix gimana sih makin hari kok makin ngawurrr udah berhenti langganan masa masih di tarik biaya langganan,1
Tdk bisa di huawei,1
mau daftar aja susah minta ampun,1
fun & easy application,5
coba buat kyk youtube yg aplikasinya bisa cast jd remote di tv android,3
Netflix ngga jelas udah tau nanti mau dibayar langganan bulanan ya eh tiba-tiba main Potong aja saldo dana orang pliss ngga usah di download scam ni Netflix,1
syukur,5
sooo gooddd i like it🤩,5
"Netflix tetap menjadi platform streaming favorit saya karena kualitas konten orisinalnya yang tidak terkalahkan. Di tahun 2025 ini, koleksi film dan serialnya semakin beragam, mulai dari drama Korea populer hingga film horor lokal yang mencekam. Fitur rekomendasi pribadinya sangat cerdas dalam memahami selera saya, sehingga saya tidak perlu menghabiskan banyak waktu hanya untuk memilih tontonan. Kualitas gambar 4K UHD dan dukungan audio Dolby Vision benar-benar memberikan pengalaman bioskop di r",5
Netflix oke sih tapi pas udah login malah terjadi kesalahan mulu padahal udah bener padahal mau nonton tapi terjadi kesalahan mulu,1
aplikasi ini bagus banget dapat melihat film film yang baru,5
"untuk film-film nya oke bgus kualitas HD nya tapi sering error ga bisa login masuk karna bermasalah email dll,, sampai sekarang padahal udh beli untuk satu bulan paket Netflix ga bisa kebuka rugi banget..",3
why can't it be downloaded?,1
"gak bisa masuk apk nya harus bayar, percuma download kalo gak langganan gak bakal bisa masuk.",1
"hallo semuanya🙆🤍, aku baru download Netflix jadi aku ga tau cara pakai nya kalian bisa jelasin ga ke aku gimana cara masuk nya😣🤍",3
"kenapasih ga bgt, ga bisa login tunggu beberapa menit mulu bayar mahal langganan mahal tapi gabisa dipake apknya",1
good job 😍😍,5
Sampah!,1
ini kenapa ya? udh berlangganan udh download jga tpi masih ga bisa buat ditonton? makin kesini bukannya makin baik malah makin nyebrang.,2
sangat mantap tapi kalo punya teman ku filem nya bahasa Indonesia kalo punya ku filem bahasa Inggris,5
mantul,5
suka banget nonton Netflix ❤️❤️❤️,5
"baru jalan 10 hari setelah berlangganan 1bulan,akan tetapi setiap mau login/masuk selalu gagal 🥲",1
bagus untuk nonton film,5
baru mau download dan langganan tapi pas liat rating nya jelek jadi batall .. im so sorry netflix🙏🙏,2
"gw ga merasa pakai Netflix ga pernah nonton Netflix, tapi di shopeepay selalu ada tagihan netflix tiap bulannya. parah bgt . jelek bgt ini aplikasi. maksa bgt suruh bayar 😡🤬",1
kenapa harus berbayar mana kayak maksa lagi pake otak kek buat aplikasi,1
kok film dan seriesnya banyak yang udh gaada ya. cepat banget gaada padahal keknya baru aja ditambahkan atau perasaanku aja ya karena udah lama ga nonton. terkadang film yang kucari dan mau kutonton gaada disini tapi sesudah kutonton baru film itu muncul disini. kesal jadinya😑,4
percuma langganan tapi film nya kurang lengkap,1
bagus sebenernya tapi nggak ada trasformers rescue bots,4
apk ny gak kebuka2 padahal udah uninstal ttp aj gak kebuka?? ada yg tau gak ya itu kenapa??,3
makin gajelas,1
apk tidak jelas di suru daftar ulang² terus habis uang gua,1
"muter muter terus pasadal jaringan stabil,males bgt pake aplikasi ini",3
"bener bener bisa diandalkan!, seneng banget pihak Netflix nya gercep, dan filmnya juga keren, banyak pilihan busa download offline lagi. dijamin kalo ada kendala pasti mereka benar benar gerak cepat!",5
"Please, hear it netflix. why you so bad now? kalau begini cara nya, saya berhenti menjadi pelanggan setia anda, dan akan memilih platform lain yang tetap mengutamakan kenyamanan pelanggan.",1
"ngeselin bgt pas mau login ada tulisan ""terjadi kesalahan.silakan coba lagi beberapa menit"" gitu mulu jadi ngga mood mau nonton. pls deh banyak juga user yg mengeluhkan itu mohon diperbaiki",1
selalu harus install ulang dulu baru aplikasinya bisa terbuka,2
udah berhenti langganan juga tetep aja saldo ke sedot,1
no error,5
ini gimana sih mau login aja ribet pake segala kesini harus ini itu ribet banget dah,1
sudah berhenti berlanggnan mash kena dipotong haduh,1
mau login susah bangt mesti milih paket dlu.. makin kesini makin ribet!,1
sangat tidak rekomen langsung uninstall gw,1
"aplikasinya seru banyak yang di tonton, tapi tolong banyakin lagi film India nya, balikin lagi film nya seru"" padahal, makasih semoga di baca.",4
ga bisa dibuka setelah berlangganan pehhh... semoga ada kejelasan ntah perusahaan anda yg lgsg bangkrut atau hancur pelan². ini termasuk penipuan ya . aplikasi sering TDK bisa di akses .,1
movie cool😎😎,5
knp ya pada saat login malah ngk bisa?,1
pls neftlix jangan di hapus film² lama kayak trolls band aku suka nonton ituu 😭😭,2
eh Netflix beneran dikit napa kirim nya jangan ke email orang lain giliran emailku gabisa🫩😡,1
aplikasi asuhh seenaknya menarik uang sendiri di rekening pokoknya nyesal yang download app ini jangan ada yang mau di bodohin,1
Black screen,1
Murahin lg pasti tambah banyak yang pake,5
merepotkan pilih paket yang mahal biar bisa rame rame nonton malah di persulit. sial kali ini aplikasi,1
ini sangat cocok untuk Anda para penggemar NETFLIX,1
"buat orang yang ngomong kalo netflix aplikasi jlk karna film ga lengkap,(gini ya men,kalo serial original Netflix ya ada dan gabakal ilang,kecuali serial dari non Netflix kaya Dexter welcome to dery dll,pihak netflix juga kalo mau ngenayangin film nya harus bayar ke.studio yang punya film macam hbo atau Paramount,jadi ya ga ada jg Netflix nulis kalo semua film ada,yang dia tulis cuma lengkap",5
Aplikasi yang bagus dan sangat membantu,5
aplikasi tidak bisa di login nin padahal sudah bayar ini bagaimana admin gak becus banget pengen duit nya doang aplikasi nya tidak dibenahi sama sekali,1
error terus pas mau login,1
Setiap buka aplikasi Netflix koq mesti kosong ya kenapa gak muncul,3
"bnyk film yg ga ada di Netflix,apa yg di cari selalu ga ada,,yg baru maupun yg lama kebanyakan Indonesia yg ada,,seperti Drakor dan film Holywood ,dan film India ga ada ,,percuma berbayar kalah sama yg gratis,",2
bintang satu terlalu banyak buat aplikasi kaya gini,1
server sering error jadi percuma paketin tiap bulan.. gak kepake.,1
"apa2 bayar, daftar aja nunggu bayar dlu baru masuk. emng gila ini aplikasi",1
Langsung uninstal aplikasi karna ga jelas mau langganan mesti pake cc,5
gagal login terus,1
Kenapa saldo terpotong trus untuk berlangganan? padahal sudah di cancel.,1
gileee bagus bener nih aplikasi😋 jangan lupa bikin animasi yang buat steel ball run loh ya😋,5
apasihh udah pake gmail tetep ga bisa bulak balik tetep ga bisa harus masukin kode lah ini lah itu lah,1
sangat buruk,1
kebanyakan film/series jomok,1
untu melanjutkan pebayaran menurut saya di persulit ketika sudah bisa dibayar apk ya enggak bisa di gunain,1
plis kasi tau cara balikin dana otomatis langganan duit buat makan itu,1
ribet masuk,5
"SUKAKKKKK, I LOVE YOU NETFLIXXXX 💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘",5
Kenapa tidak bisa di play meski sudah di download.. tolong penjelasanya,3
Video nnya suka macet macet endak enak kalau di tonton,1
"Sejauh ini aplikasinya Oke, sih. Download Netflix karena mau nonton film'nya Studio Ghibli & SORE : Istri Dari Masa Depan, juga film² lain yang ada Sheila Dara Aisha-nya :) Tolong terus tingkatkan user experience dan keamanan aplikasi. Terima kasih.",5
"Pagi di 10 April 2026, tiba-tiba hp saya hilang gambar, tidak bisa menampilkan video netflix tapi suaranya ada. Sebelumnya tidak pernah terjadi hal seperti ini. Saya heran.. Apakah ada bug dalam aplikasi ini atau justru di ponsel saya ya? Handphone saya Tecno Spark 20 Pro",4
"login benerin, ""Terjadi kesalahan"" terus kocak",1
film kurang baru,3
katanya ada film nobody dan beekeper... kok gak ada di Indonesia,1
tidak berguna,1
"💩..sudah bayar bulanan, tapi lemoooooootttttttt ,gk bisa dibuka buat nonton. 💩💩 tolong diperbaiki",1
"Sekarang buat login aja susah, terjadi kesalahan mulu padahal sinyal bagus, email sama pw jg udah bener.",1
saya sangat puas dengan aplikasi ini saya bisa nonton apapun,5
"Semakin sulit buat lihat film sebelum daftar bulanan, mau buat naftar login dulu baru lihat film 🤦sulit, lebih baik ""merl movie"" 👍🏽lihat film dulu baru daftar bulanan",3
gw udah langganan demi konser bts tpi malah ngeblur dramanya juga ngeblur capek deh 😏😏😏,4
bagus buat nonton film lengkap seru di jamin tidak bosan,5
login sangat sulit,1
apaan mau daftar malah di suruh langganan dulu aneh,1
penarikan dana tanpa konfirmasi sangat meresahkan,1
oke,5
daftar aja mau pakai bayar jelek banget aplikasi nya.,1
apk aneh bisa nya mempersulit ntar sepi bingung sendiri,1
"gimana mau nonton, pas daftar aja malah susah banget, ga bisa masuk, ANEH",1
sudah bayar langganan tapi ga bisa masuk,1
"balikin uang ku please, jangan di ambil mau batalin netflix pun susah bngt",1
"napa netflix skrng lemot yak, parah hampir kurang lebih tiap 10 mnt an bufering mulu alias loading mulu muter² pdhl sdh pake wifi paling kencang, hadeehhhh",2
"aplikasi g guna BKN soal film TPI soal potongan otomatis seenak jidad dia,mending aplikasi lain ajalah dari pada ini,bagi yg blm daftar jgn dech pemotongan otomatis klw g pakai akun dana atw pembayaran yg BKN utama punya mu soalnya ribet nanti itu aja saran q",1
"pemotongan otomatis g bisa di hilangkan, mw g mw uninstall",1
baru bergabung. belum tahu harus nulis apa. semoga sesuai harapan,4
Terjalankan,5
"Thank you for returning my funds, the process was very easy, thank you very much, I am very happy.",5
"jelek banget, aku udh bayar langganan sebulan tpi gbisa buat nonton apa apa, semua nya loadingggg🥴🥴🥴🥴🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮",1
aplikasi bagus. cuma iuran nya mahal.,5
netflix sangat bagus,5
"tambahin one piece arc wano pls, sayang bngt banyak yg nonton tp tu arc nya ga ada",4
"makin lama film film terbaru nya ga lengkap, males",2
lumayan bgus tpi haduh byk iklann nya,4
Bagus iklannya tidak ada,4
syukaaa bgt nnton dsni,5
"Aplikasi setelah di Download pada Hp Samsung A20, tidak dapat di Hapus. Bahkan tidak ada pilihan Uninstall, baik dr pengaturan Hp (Aplikasi), atau dr Playstore nya juga. Maksa banget biar terus pakai ini Apk",1
begadang,1
gak bisa masuk padahal udah bayar,1
"saya sudah membayar langganan tetapi Netflix tidak bisa dibuka,dan bulan lainnya saya sudah berhenti langganan tetapi duitnya masih ikut kesedot padahal saya tidak pernah berlangganan di aplikasi lain saya berlangganan cuman di Netflix",1
Baguss👍🏻,5
sering bug gk bisa dibuka,1
ini yg bermasalah Netflix apa Telkomsel sih? kata Telkomsel disuruh hubungi pihak Netflix. kenapa saya tidak bisa monton padahal sudah bayar Rp65.000??,1
ribett daftarNy. uninstal!!!!!!!,1
filmnya jelek jelek ga ada yang bagus,1
"sejauh ini ini aplikasi bagus dan langganan perbulannya murah di bawah seratus dan allhamdulillah aku puas karna banyak pilihan film,series,dan masih banyak lainnya dan mungkin itu aja sih",5
"knp si cuma pengen bikin akun baru susah banget, suru buka gmail tapi pas pencet link yang di kasi malah gada apa"" di browser nya kesel bngt cuma mau bikin akun di bikin susah gitu padahal jaringan bagus",1
Aplikasi For Watching Film2 Kerrreennn Terbaik No. 1 Di Dunia .!! 👌💯😎 But Why Sejak Awal Juni 2025 Film2 HORROR Baru Yang Tayang Kualitas'nya Jelek2 Semua .!?? Please Tambahkan Segera Film2 HORROR INDONESIA TERBARU Seperti => SANTET - DOSA DIATAS DOSA ( 2026 ) + JANUR IRENG ( 2026 ) + THE HOLE ( 2026 ) + ALAS ROBAN ( 2026 ) + QORRIN 2 ( 2026 ) + AGAK LAEN 2 - MENYALA PANTIKU ( 2026 ) + MALAM 3 YAASINAN ( 2026 ) + KAFIR - GERBANG SUKMA ( 2026 ) + KUYANK ( 2026 ) & GHOST IN THE CELL (2026 ) ✌🗿,3
masak ga bisa login sih,1
"apasi netflix sekarang, baru beli paket gak bisa masuk akun terjadi kesalahan terus",1
ga bisa masuk susah jirr😹😹,2
kasih dua krn blm ada tanggapan 🙏🏻,2
download Netflix cuma buat nonton uang Panai 2😭,5
"aplikasi gk jelas, masukan sandi aja gk bisa",1
"masa saya baru mau masuk di suruh bayar,mana kagak bisa di batalkan lagi",2
tak jelas masuk nya udah masuk email malah di suruh masuk email lagi,1
banyak masalah aplikasinya,1
mau bayar aja lewat dana susah bjirrrr,1
saya tidak bisa membuka akun saya,1
Bagus banget aku suka,5
tidak bisa buka disamsung tab...masa terdeteksi 3 perangkat,1
"Aplikasi Model apa ini,baru mau daftar aja sudah susah bgt untuk buka link nya",1
Nice app..,4
mana sbr eps 2 mana sbr eps 2 mana njir,1
netflix memberikan hiburan keluarga lewat film drama yg menghibur dgn kualitas yg prima pokonya woke,5
"tolong lah kalau login jangan di persulit, email sama password udah benar tapi tetap gabisa login.",4
"Harus bngt kah di persulit setiap mau masuk/login apk ini, baru fist time aku mau coba, udah seexcited ini tapi malah di giniin, Mantap pol ni apk, hadeuhhhh",3
film nya bagus keren,5
"aplikasi rasis, udah beli mahal mahal resolusi ttp jelek",1
"aplikasi kagak jelass bodohh,,mauu buatt akunn ajaa susahhh,,,disuruhh buatt kata sandii ulangg",1
LOG IN RUWETTTTT,1
"berbayar, padahal gwa gada duid",1
Aplikasinya bagus banget dan film filmnya jga seruu,5
KAPAN EPISODE 2 SBR NETFLIXXXXX!!!!!!!!!,2
pembayaran nya jangan otomatis lah. uang gw di dana buat yang lain malah buat berlangganan netflix secara otomatis tiap bulan,1
Mana SBR episode 2😈,1
bagusss pollll,5
"gimana sii aplikasi netflix gak bisa loginn, padahal alurnya benar, bulak balik di permainkan, pantas bintang 1 ku kasih, ,,",1
"udah bagus tampilannya, sayang banget untuk one piece dari zou arc sampai wano arc belum tersedia buat negara indonesia, tolong dibantu tingkatkan lagi episode yg belum tersedia untuk negara Indonesia 🙏",4
jelek bgt,1
"aplikasinya sih bagus, tapi kalau bisa jangan tiba tiba motong uang, kasih pemberitahuan dlu mau lanjut berlangganan atau tidak",3
"nonton genre thriller sering sekali di moment klimaks freeze bikin kesel anjir, udah cek jaringan lancar jaya, space handphone juga masih lega banget tapi begitu terus bikin gak nyaman. Berlangganan pakai duit coy tapi kalo saat pemakaian bermasalah terus seperti ini rugi njir",2
film nya bagus-bagus dan banyak pilihan,5
where is eps 2 sbr,1
"susah login, udah itu aja rugi",1
nyesel langganan,2
ini gimana yaa setiap mau muter film kok malah gabisa?? padahal udh berlangganan malah gini,1
"bikin dong film ini tayang dri tahun brpa, apa gw aja yg galiat? kirain yg terbaru trnyta yg lama",3
"belum ada, tapi baru mau masuk ke netflixnya",5
cukup,5
error gabisa mutar film padahal jaringan bagus sia sia langganan,1
"Disuruh coba lagi mulu saat login di huawei matepad12x, pindah ios malah lancar , aneh... *terjadi kesalahan coba lagi dalam beberapa menit*",1
"nnton masa resolusinya jelek bngt full ijo"" pixel gmna nnton nya habisin kuota aja",1
aku download ini cuma buat nonton BTS doang 🥰,5
layar hitam loading tidak muncul gambar maupun suara,1
"jangan ada yang pakai ini, buat loginnya aja ibarat disuruh pindah agama",1
gw butuh sbr eps 2,1
when is sbr eps 2 🫩🫩,1
suee banget dah bayar seminggu lalu ... dah nonton juga ... kok skrg pas buka Netflix suruh masukin akun daftar lagi disuruhh BAYARRR LAGIII DONG ..... buangkeee,1
"susah login, setiap mau masuk terjadi kesalahan coba beberapa menit aja terus, udah nunggu sampe berhari hari pun tetap begitu, udah unistal terus instal lagi juga masih begitu",1
"kak, request film Joy of life donk di Netflix. season 1 dan 2",5
"terjadi kesalahan mulu kalo may login, lama lagi.",2
banyak bug,1
sy SDH TDK berlangganan Netflix dan SDH sy hapus aplikasi Netflix tapi kena saldo sy 2 BLN masih dipotong setiap blnnya.. tlg konfirmasi nya,2
GIMME STEEL BALL RUN,1
"Kualitas yang ditawarkan aplikasi ini jauh melampaui ekspektasi saya sebelumnya. Meskipun gratis, layanan yang diberikan terasa sangat premium dan eksklusif. Saya merasa sangat beruntung bisa menemukan aplikasi ini di tengah banyaknya pilihan yang tersedia.",5
"pliss netflix, rilis episode 2 SBR",2
alama kirim ke gmailnaya saat daftar,2
susah banget ga worth it apk ini buat nonton karna susah banget daftar smpe udah buat akun google laen tetep gabisa,2
stuck Logo why?,1
film Makin dikit harga langganan mahal mikir aja yang ada malah film sampah semua,1
"aplikasi setres anjir filem ga lengkap, percuma langganan pntek",2
were the episode 2 sbr netflix,1
"incorr mulu tiap masuk, banyak bug",1
Where are my SBR NETFLIX!!!,1
iloveeeee,5
"makin kesini makin rusak nih aplikasi, setiap login terjadi kesalahan terus",1
di mana jojos nya huh,1
"netflix kenapa yaa , udah beberapa kali langganan ga bisa kepake buat nonton ampun deh",5
kenapa sekarang selalu terjadi kesalahan saat login.?,1
kenapa harus langganan,2
bagaimana cara berhenti langganan netlfik sudah coba berhenti langganan tapi dana masihtetap terpotong otomatis tiap bulannya,1
jelek susah amat bikin akun🙄🙄🙄,1
tontonan menarik menghibur,5
bagus banget saya suka karna ada flim yang saya suka seperti one pice dan flim horor,5
"suka, filmya bagus bagus, LOVE IT",5
nonton di tv gak bisa. malah disuruh cs nonton di laptop/hp aja. terus saya rugi dong udah langganan yg paket standar? payah!,1
netflix mana sbr eps 2 nya 🤬🤬🤬🤬🤬,5
Okee,5
"apaansih loading mulu padahal jaringan oke, di download an jg loading dan layar item doang",1
"aplikasi yang membantu, dan gampang digunakan",5
sbr ep 2 mane tai,1
mana episode sbr nya Netflix 😐⏱️👈 the time is ticking,5
mana sbr episode 2 yang kau janjikan itu ha?,1
ok dah,5
kualitas baik,5
tolong tambahkan flim toy story ☺️☺️,5
film nya gk kumplit,1
banyak bugnya,1
ngelag loading terus,1
"ngestuck di loading video nya uy gak bisa udah segala cara tetap aja gitu hapus data, download ulang,matiin wifi, ditungguin tetap aja broo kuu nyesal berlangganan kalau tau gini 🫣",1
mana sbr 2 Netflix 😡,1
semakin update semakin buruk!!,1
PELAYANAN SANGAT BAIK CEPAT DALAM MENGATASI MASALAH SANGAT BAGUS,5
sdh daftar malah gk bisa ke buka awal nya di smart tv yg gk bisa eh..malah sekrg di hp juga gk bisa kebuka padahal wifi bagus2 aja,1
no sbr eps 2,1
"mines nya ni aplikasi film nya terbatas,jadi kita mau nonton film yang dulu²ga bisa karena di sistem mereka film itu seperti penitipan kerupuk klo sudah habis masa waktu nya itu di hapus",3
release sbr eps 2,1
STEEL BALL RUN NYA MANA NETFLIXXXXXX,5
rilis SBR episode 2 woiiiii,1
aplikazi film terbaik,5
netral aj gw mah,3
"woilah nih kenapa suka logout sendiri dah , kalo masuk juga susah banget tulisannya gini muluk ""terjadi kesalahan tunggu beberapa menit"" langganan mahal mahal cuma kayak gini kelakuan nya",2
